,Species,id,patch_re
0,CM_M,CM_M_01,Belly
1,CM_M,CM_M_02,Belly
2,CR_M,CR_M_01,Belly
3,CR_M,CR_M_02,Belly
4,H_M,H_M_01,Belly
5,H_M,H_M_02,Belly
