,a,b
695.79,0.188472,0.566212
697.59,0.187179,0.569729
699.4,0.188022,0.569767
701.21,0.191515,0.573783
703.01,0.194739,0.577656
704.82,0.197098,0.57928
706.62,0.199642,0.57748
708.43,0.200185,0.576603
710.23,0.198459,0.574411
712.04,0.200951,0.576074
713.84,0.20606,0.583686
715.64,0.209465,0.588951
717.45,0.211343,0.592539
719.25,0.213861,0.594224
721.05,0.217688,0.594446
722.85,0.218311,0.594374
724.65,0.218668,0.598297
726.45,0.218273,0.597945
728.26,0.220513,0.597756
730.06,0.22224,0.601353
731.86,0.224268,0.607431
733.66,0.228449,0.614407
735.45,0.231063,0.613008
737.25,0.23176,0.611334
739.05,0.233088,0.609466
740.85,0.236053,0.617591
742.65,0.23988,0.619341
744.45,0.23765,0.622331
746.24,0.24177,0.624436
748.04,0.245141,0.626129
749.84,0.250392,0.628717
751.63,0.254085,0.628967
753.43,0.254662,0.635346
755.22,0.257103,0.63374
757.02,0.259118,0.63866
758.81,0.262193,0.637479
760.61,0.262827,0.637824
762.4,0.258529,0.637885
764.2,0.264167,0.645095
765.99,0.270831,0.648092
767.78,0.273795,0.649675
769.58,0.27561,0.648923
771.37,0.279237,0.650671
773.16,0.287541,0.657057
774.95,0.293103,0.656253
776.74,0.29646,0.661662
778.53,0.300103,0.660335
780.33,0.298432,0.660943
782.12,0.303363,0.665846
783.91,0.30383,0.665684
785.69,0.304918,0.668072
787.48,0.301717,0.667802
789.27,0.308731,0.671368
791.06,0.318295,0.677024
792.85,0.3158,0.674788
794.64,0.316904,0.666795
796.42,0.317287,0.676063
798.21,0.321743,0.679365
800.0,0.324862,0.679298
801.78,0.32615,0.686704
803.57,0.327602,0.67698
805.36,0.332467,0.686258
807.14,0.33573,0.686996
808.93,0.343333,0.690056
810.71,0.347553,0.692736
812.5,0.3493,0.696774
