,Species,id,patch_re
0,CM_M,CM_M_01,Whole
1,CM_M,CM_M_02,Whole
2,CR_M,CR_M_01,Whole
3,CR_M,CR_M_02,Whole
4,H_M,H_M_01,Whole
5,H_M,H_M_02,Whole
