,Species,id,patch_re
0,CM_M,CM_M_01,Shoulder
1,CM_M,CM_M_02,Shoulder
2,CR_M,CR_M_01,Shoulder
3,CR_M,CR_M_02,Shoulder
4,H_M,H_M_01,Shoulder
5,H_M,H_M_02,Shoulder
