,CM_M_CM_M_01_Belly,CM_M_CM_M_02_Belly,CR_M_CR_M_01_Belly,CR_M_CR_M_02_Belly,H_M_H_M_01_Belly,H_M_H_M_02_Belly
300,0.144837990849,0.211171725272,2.90190627052,4.13215262363,0.280839109645,0.253225267468
301,0.151755371301,0.218739050328,3.12296870714,4.29845259732,0.284513887699,0.297676373704
302,0.158576225197,0.227916881551,3.36639813865,4.48626767002,0.285327194519,0.319856903088
303,0.15977642882,0.234272242769,3.5751215589,4.66940744025,0.286405690146,0.339992892112
304,0.170180741577,0.243344435902,3.84519745137,4.89446764075,0.286801142804,0.378836817896
305,0.183377843628,0.248363110608,4.09194343467,5.05552120959,0.291433466403,0.415321388317
306,0.184959935333,0.25523503998,4.34268084394,5.28247755005,0.295156030206,0.451310949621
307,0.193805476321,0.266210380286,4.63563005607,5.49773852495,0.294226191993,0.461868121004
308,0.198936479023,0.274003974466,4.85119181331,5.71120386924,0.301739867427,0.489290561132
309,0.204176273076,0.281472467292,5.08184697145,5.95997131711,0.303118501224,0.512154890278
310,0.212395469622,0.292414478883,5.38307884348,6.1985157913,0.309920906521,0.535911540138
311,0.222586263839,0.295628669121,5.62519715185,6.43203805757,0.314599866093,0.552888248689
312,0.23059195601,0.306111805265,5.84677676469,6.66732527327,0.318206611459,0.580137652124
313,0.237633844833,0.306210439522,6.12152194179,6.84105093733,0.328778919989,0.594800908518
314,0.243578652694,0.309568453882,6.38754892381,7.08100892506,0.331589116812,0.614808336142
315,0.251655538065,0.322002688509,6.62057981675,7.30955425791,0.333931604008,0.630634136885
316,0.260060826523,0.325473334865,6.85479133745,7.49118018142,0.342410942652,0.634396714405
317,0.26553236489,0.334499244306,7.13480738441,7.71017520917,0.349604195351,0.663061647645
318,0.274600263095,0.34607327185,7.36107615101,7.87622323011,0.357630010489,0.67454107017
319,0.284264232831,0.359112443663,7.68408563557,8.08396641062,0.371195691673,0.699464766588
320,0.293872277905,0.375573475468,7.97021463847,8.28331931509,0.384307106886,0.717258432557
321,0.302008061888,0.383577046433,8.16788761479,8.46369595116,0.400602259923,0.750291820411
322,0.311807719244,0.394630184631,8.32303737101,8.65024645649,0.416938014776,0.785288941929
323,0.319432959904,0.409746464382,8.51157365365,8.88217860736,0.422600406887,0.825828335552
324,0.329906060057,0.421953681383,8.69876299817,9.11689417836,0.430488760598,0.872880365973
325,0.341676256168,0.435950425353,8.938407112,9.34226133399,0.443546903808,0.919697744205
326,0.351289489175,0.447133679659,9.15172767248,9.52566008844,0.451199439612,0.95485745543
327,0.356652856348,0.456333449629,9.36233942382,9.66996797635,0.455608580798,0.997391151105
328,0.363467962204,0.466431114172,9.58030296962,9.86367377524,0.459496943958,1.05299075877
329,0.372212125788,0.47928464024,9.77553921322,10.1154972928,0.467219125549,1.09046188317
330,0.379036356993,0.490553649668,9.93703730465,10.2581451371,0.473695471526,1.11851413514
331,0.385506655881,0.497218912972,10.1832665672,10.4494607238,0.482830741347,1.14949449893
332,0.393804689236,0.504962829867,10.3706131244,10.5899466874,0.492507671458,1.19827452195
333,0.402669497173,0.512358179962,10.5763727509,10.7432131746,0.493628151052,1.2411605022
334,0.409293080345,0.522841108158,10.7382069214,10.9600632431,0.494760894113,1.27902403693
335,0.413532269628,0.531045079203,10.9750685039,11.1077486672,0.497141302972,1.30595507715
336,0.422836993655,0.54010057387,11.192212564,11.3205165288,0.500714717411,1.35269662252
337,0.43059615991,0.547861061809,11.4225801666,11.4851023974,0.507399182853,1.40171594345
338,0.442208412226,0.560129370641,11.595550748,11.6861803507,0.513612545217,1.44522994039
339,0.451114745293,0.567357830249,11.7706095237,11.8976586075,0.523523819626,1.48294104752
340,0.459557130271,0.577211142121,11.9999648393,12.1036465217,0.529389362901,1.51476358038
341,0.469941431807,0.585949345132,12.1826886495,12.2979777921,0.529948701342,1.54763364675
342,0.478618768122,0.595327346091,12.3307282036,12.4988159507,0.531441172158,1.5855569386
343,0.488881441623,0.606644242457,12.5613119174,12.6863508982,0.537399109934,1.61869364949
344,0.4997550213,0.617302046782,12.7490325819,12.8240077485,0.542521925411,1.66313268111
345,0.510494383553,0.627605628962,13.0451723751,12.9927255927,0.548006919328,1.69478880036
346,0.516756596629,0.636282781627,13.1964674559,13.164218619,0.551487770741,1.72348680652
347,0.526200595247,0.643828063672,13.3481150075,13.3483488177,0.559336047799,1.75808495272
348,0.540012307054,0.654216549,13.6246282708,13.4975224208,0.560268015153,1.78766173041
349,0.551401167529,0.666616049703,13.8714056414,13.6534481501,0.567328471481,1.83307361268
350,0.562854592352,0.6780254034,14.0923049619,13.7528815356,0.570112359884,1.87317861459
351,0.572396711993,0.686887394939,14.2489702614,13.9483745815,0.579063965848,1.9064815915
352,0.581735944323,0.696888854915,14.4230972693,14.1341018367,0.584214379672,1.93478443426
353,0.591146356366,0.708206475895,14.6015351549,14.3569493306,0.587053717211,1.95827213423
354,0.60160990283,0.719596616307,14.758460099,14.5468909151,0.592634908145,1.98050622805
355,0.614260342951,0.726803295915,14.942931018,14.7312390657,0.59656573374,2.00412392501
356,0.624512972931,0.737968596589,15.1417484647,14.9318146779,0.602183823303,2.03461345639
357,0.633378470147,0.751946803931,15.3454846025,15.118210375,0.609716584252,2.06440925721
358,0.644327724382,0.765950081675,15.5579562504,15.3191747455,0.615479176189,2.08933820187
359,0.654170737219,0.778796458785,15.7123940558,15.5193730896,0.620711458599,2.10598964032
360,0.665058292247,0.789921606796,15.9000550107,15.6837516451,0.630857706519,2.12729836832
