,Species,id,patch_re
0,CM_M,CM_M_01,Head
1,CM_M,CM_M_02,Head
2,CR_M,CR_M_01,Head
3,CR_M,CR_M_02,Head
4,H_M,H_M_01,Head
5,H_M,H_M_02,Head
