,CM_M_CM_M_01_Shoulder,CM_M_CM_M_02_Shoulder,CR_M_CR_M_01_Shoulder,CR_M_CR_M_02_Shoulder,H_M_H_M_01_Shoulder,H_M_H_M_02_Shoulder
300,0.663129211728,0.471294420175,1.19203041006,1.20571706525,0.658723343745,0.646001099459
301,0.687214186326,0.481854840928,1.17813474959,1.18667054913,0.649706272453,0.636823990428
302,0.694952322926,0.475950294778,1.16163484948,1.17121077045,0.638495996117,0.628546067172
303,0.696334271469,0.467895846812,1.15232642029,1.16224781733,0.627210093266,0.618146098075
304,0.716538157378,0.459372855426,1.13277716933,1.15358148715,0.616375531044,0.609793297403
305,0.717029314577,0.458037580608,1.11927786821,1.13425004533,0.608769435482,0.602023136301
306,0.737016681163,0.462338192012,1.10307621793,1.11928802885,0.598769872016,0.590959124068
307,0.761794502312,0.46627288147,1.08556575254,1.1025140021,0.585534999961,0.583164937783
308,0.768279081109,0.465450971024,1.07064152744,1.08825101329,0.573998322503,0.571641530539
309,0.771815928926,0.461944001747,1.05037818629,1.07302962071,0.56221702283,0.565636783141
310,0.780873563329,0.459819848502,1.03196303581,1.05934101191,0.550005513512,0.561243942581
311,0.786100819356,0.460103887656,1.01502121074,1.0459232316,0.538793231273,0.554319963705
312,0.800255621627,0.450567539015,0.994899062048,1.02701182643,0.529719559964,0.544126697074
313,0.816438495715,0.455423572445,0.976437462485,1.01059705926,0.519807430198,0.537838446517
314,0.823816840897,0.46550545045,0.961282385269,0.995242627973,0.51075974654,0.532637888879
315,0.82836833615,0.479317050269,0.944016302884,0.979417539817,0.504561499349,0.525731321939
316,0.853983797712,0.503704278417,0.930193229368,0.965399096427,0.49607868779,0.516829897617
317,0.869846528624,0.518801440126,0.911444588964,0.94929700772,0.487763474401,0.511415279532
318,0.884838982616,0.53348295404,0.894164897977,0.926474614685,0.481529890462,0.504949177266
319,0.890123904424,0.542447748143,0.878278576716,0.909334625944,0.475372531383,0.501616494615
320,0.936039437463,0.584966275428,0.862323598372,0.894627517975,0.465554531342,0.492730359576
321,0.938570224103,0.618859642146,0.845348710084,0.879003920706,0.457061196608,0.484663341742
322,0.962338895075,0.653674660401,0.831617400307,0.85735601418,0.446958982195,0.479333370577
323,0.993869423939,0.696311468633,0.817771947312,0.838956208627,0.440250494792,0.473136657577
324,1.02284303868,0.75064679992,0.800197128673,0.821740246819,0.435196104533,0.469594254918
325,1.06250627999,0.786927001497,0.787275264136,0.810672945138,0.429520680868,0.460578212917
326,1.1088791867,0.828063262031,0.770912392526,0.802774126413,0.421653893586,0.457019181136
327,1.15584223911,0.869959822507,0.751205859149,0.786107161966,0.416480254746,0.458271663113
328,1.18218863434,0.933139708697,0.739690658687,0.770603825113,0.411156051614,0.450874843437
329,1.20937031779,0.984478290128,0.725499979179,0.753619768882,0.407572687141,0.446354590901
330,1.25791695777,1.03015136372,0.715859410927,0.732306140214,0.398451322738,0.442182438417
331,1.26375079436,1.08824438998,0.70133438073,0.720268811279,0.393983171765,0.437993172494
332,1.30277866902,1.15687291601,0.689198949368,0.702926922438,0.387776144668,0.436934124383
333,1.33836375256,1.19633380542,0.675439193865,0.691958251211,0.382619998131,0.433395964785
334,1.37737505234,1.25447165756,0.660951094351,0.683926218357,0.379533560256,0.429105863133
335,1.38617037742,1.28935894969,0.648208402237,0.672369248652,0.374598542934,0.423927593925
336,1.43617405001,1.33820308494,0.630573174666,0.655020905427,0.370198569055,0.419665341125
337,1.48380667588,1.37233029522,0.617243977037,0.638524850854,0.367223624166,0.414934776877
338,1.52316615449,1.41003552477,0.603934291372,0.629459844804,0.361386648063,0.412219947285
339,1.54918504143,1.46856005714,0.59090384985,0.622561837916,0.357525074983,0.409595101585
340,1.58969775781,1.51257043296,0.57796159003,0.617907423321,0.350844881664,0.407691106131
341,1.63141102828,1.53169753149,0.566449403781,0.609442485805,0.345273799531,0.404902900823
342,1.65630759641,1.55839685009,0.554811861339,0.597438688937,0.345509306421,0.401162046985
343,1.68959267643,1.58635991973,0.544029056426,0.588347665705,0.343318041,0.400380480772
344,1.70901985056,1.60370374295,0.529409135519,0.582580931213,0.339209795311,0.394339419765
345,1.72058926184,1.6294730211,0.519087337219,0.578536872461,0.337316673714,0.392748250694
346,1.72013817903,1.65508020615,0.507714577453,0.574549273912,0.333846353703,0.387437738489
347,1.73050715045,1.66397937067,0.49494638499,0.566103093864,0.329146186495,0.387163411433
348,1.73251903989,1.64043986358,0.483859238549,0.562298322874,0.326999711128,0.386526283562
349,1.74778718835,1.66903113891,0.47451044171,0.554042425198,0.324222094836,0.385058896714
350,1.75423934815,1.68381334933,0.463865801107,0.545235109427,0.321660716534,0.382154946785
351,1.75794309987,1.70315814891,0.453908516402,0.537293409128,0.318991193921,0.377110054261
352,1.76617835574,1.72036467241,0.448096701081,0.534017893138,0.314445012042,0.377197367971
353,1.76504271798,1.74596287342,0.439237429601,0.530207052026,0.31374255389,0.374688241613
354,1.73619210447,1.74790326514,0.43273188215,0.527755059525,0.312015406568,0.375737930548
355,1.76279353084,1.75265727157,0.426028501909,0.518336539637,0.308956990439,0.375692859252
356,1.76475838045,1.73591731807,0.420115095438,0.514256574112,0.306608251536,0.374542514808
357,1.75156108775,1.73494321966,0.411517053467,0.508930470625,0.303417236755,0.378595584072
358,1.7492803911,1.73736138706,0.405175795257,0.504211833772,0.304574063011,0.383818467755
359,1.77317263922,1.75923167527,0.401115326708,0.497680895061,0.306446810931,0.382982457867
360,1.78012397728,1.74482658934,0.394539587564,0.494506072251,0.305052480329,0.384466220509
