,CM_M_CM_M_01_Breast,CM_M_CM_M_02_Breast,CR_M_CR_M_01_Breast,CR_M_CR_M_02_Breast,H_M_H_M_01_Breast,H_M_H_M_02_Breast
503,2.64459486976,2.2868866651,0.910385039011,2.01458482232,1.73273928976,2.30323698201
504,2.80244713439,2.39281779246,0.917936250377,2.07839894762,1.84272663143,2.44257319114
505,2.94894424484,2.48516449163,0.924377740349,2.14130436846,1.95549957087,2.58772217241
506,3.10124324631,2.59370494424,0.933890006998,2.21495108763,2.07766402942,2.74616749597
507,3.25445301537,2.69856689445,0.948798794585,2.28944025574,2.20599829509,2.91699241479
508,3.40122285225,2.7971501923,0.963040275213,2.38214819715,2.35239807196,3.09082811496
509,3.55996028143,2.91665675596,0.982131958833,2.48781787937,2.50506829632,3.26814665873
510,3.71584934861,3.04241138404,1.00391758934,2.57945150704,2.6618188774,3.44965244997
511,3.89084607024,3.18035017161,1.02898020586,2.69224946805,2.8368572724,3.63539609278
512,4.06562476277,3.31748478404,1.05576824559,2.80961855854,3.01601573424,3.85363000258
513,4.24257806006,3.44540649735,1.08297520607,2.94587031738,3.2154082073,4.06635245399
514,4.39755007046,3.58235775691,1.11451284511,3.09692983192,3.44434312495,4.27914829174
515,4.55984847531,3.71783672011,1.14584624863,3.244586612,3.67436831006,4.50586163163
516,4.73261543464,3.84847080868,1.18416858938,3.38342948472,3.90324065448,4.72834185176
517,4.87914561896,4.00040120488,1.22495720467,3.54909816885,4.16456497361,4.93669174856
518,4.99994659871,4.12696492918,1.27730775897,3.70499247576,4.41309835341,5.18941069621
519,5.16130665324,4.25747571378,1.32386207713,3.86241548685,4.67034975535,5.40740729438
520,5.30811256509,4.3870377297,1.38157274846,4.02773985736,4.93067351119,5.64001446244
521,5.43714330373,4.5286923657,1.44467845905,4.19338632058,5.22436564936,5.89435530188
522,5.57876741246,4.64937735544,1.50674954387,4.38103443014,5.49366468905,6.11929409574
523,5.71601678871,4.77095538588,1.57390253633,4.5635816423,5.77996690992,6.34687288905
524,5.85293856382,4.89545605203,1.64630452201,4.75260823597,6.06830180058,6.59037903172
525,5.97014475216,5.00430022572,1.71893016667,4.94845345941,6.34626944197,6.84891633795
526,6.07410633257,5.09447938931,1.80240627915,5.15865487498,6.60867802522,7.07970689664
527,6.15905399342,5.18990971557,1.88718565294,5.34682002849,6.87405824754,7.26542899209
528,6.25810545985,5.27523120756,1.96954025754,5.55225779756,7.16144359179,7.4947378959
529,6.33589733956,5.37451850611,2.04544730557,5.75589000426,7.42817846488,7.663440928
530,6.41649489666,5.45594676869,2.11877033811,5.9494640555,7.70199006279,7.82195975642
531,6.4805055465,5.52226342199,2.20466238064,6.1549984644,7.94096294032,8.05509201952
532,6.53312474834,5.57961176437,2.29086778346,6.35041122625,8.24401031743,8.21117003493
533,6.55872128012,5.63900667916,2.38375229301,6.56353700143,8.49629735878,8.37813043874
534,6.61237348231,5.67467091397,2.46826260924,6.75220301229,8.73909625968,8.538573305
535,6.64528609733,5.72368001933,2.55050144625,6.95609087647,8.96528045168,8.7272548367
536,6.61036162534,5.77928319096,2.64966175157,7.1428894735,9.17217142945,8.8356592852
