,CM_M_CM_M_01_BackBottom,CM_M_CM_M_02_BackBottom,CR_M_CR_M_01_BackBottom,CR_M_CR_M_02_BackBottom,H_M_H_M_01_BackBottom,H_M_H_M_02_BackBottom
300,0.505883010069,0.514843535843,0.817903161239,1.33547605397,0.663408167873,0.584872213624
301,0.510378005444,0.540054044683,0.805562505798,1.32239289768,0.657346301656,0.580069951056
302,0.528017203765,0.573342400271,0.793407830813,1.31073021759,0.655183304456,0.570973674418
303,0.539080400429,0.591570668962,0.781037610724,1.29486673494,0.651451158581,0.567369251632
304,0.543182177323,0.607310389633,0.771507502417,1.27128133901,0.646960631104,0.559297316432
305,0.542858981987,0.60786823449,0.759596023955,1.26108183327,0.64058767574,0.557354976979
306,0.55960546329,0.633923121895,0.753529548384,1.25085833967,0.63187639851,0.550259540055
307,0.564804003,0.671538022969,0.743512007488,1.2308451548,0.630660024138,0.545422127578
308,0.599645583587,0.686853359432,0.74025796252,1.21379838202,0.627332483213,0.537983811738
309,0.611741321137,0.709923059025,0.733253100095,1.20202350492,0.623969410892,0.536366775999
310,0.630854735659,0.735638683594,0.727650807144,1.18455793473,0.624918246565,0.533248116638
311,0.658396713312,0.760472811281,0.721990102695,1.16489551941,0.621893665542,0.531428876733
312,0.677396818186,0.796988428819,0.715665435393,1.1473628442,0.61710999185,0.526076625846
313,0.698768169469,0.837132867668,0.70937321855,1.12981560459,0.619453652167,0.523106841344
314,0.719748676673,0.845428373734,0.697095218831,1.11697184051,0.616179454997,0.518729610394
315,0.737958132701,0.879907624135,0.691510246375,1.11187070896,0.613886638577,0.514291276055
316,0.749534744676,0.899926294981,0.68887745932,1.09047544192,0.606122063992,0.510049761266
317,0.776579691841,0.922287844899,0.680808095133,1.07705843954,0.606808381381,0.50442219652
318,0.783427022082,0.941431177296,0.667396922482,1.06745674773,0.60917604828,0.504295545501
319,0.820807481945,0.963805890222,0.666499319998,1.049503266,0.60550499891,0.502177823088
320,0.850432561494,0.985111905165,0.654661017183,1.03135063192,0.603338551662,0.503962204742
321,0.886009148425,1.01344980266,0.650219575299,1.01717118398,0.602045743888,0.499128419009
322,0.92023856545,1.04810689399,0.643943521113,0.999466302447,0.603665184216,0.496813533805
323,0.959010733584,1.06802590246,0.639155909974,0.989390917149,0.6097871252,0.493458788864
324,0.997771887391,1.11746870085,0.632625308178,0.977617251119,0.609663089483,0.490332483091
325,1.02005066238,1.14447476346,0.623890913257,0.968136124677,0.607138178782,0.484833507228
326,1.05480536353,1.1756831202,0.619373339779,0.96279526959,0.607568786442,0.480780619807
327,1.0983634191,1.18535408611,0.618799145133,0.957518269993,0.607922249173,0.479844756646
328,1.12661457665,1.20402497488,0.609730639479,0.935825480262,0.607151237265,0.477892365194
329,1.14694967934,1.21473769592,0.602823714371,0.934528891212,0.603844684989,0.471792871065
330,1.16759354268,1.2247084994,0.597175403344,0.920864415041,0.605041174195,0.469647575811
331,1.18267041879,1.24268062429,0.591903765962,0.919008170709,0.606578339382,0.467359375316
332,1.20695093644,1.25546514904,0.58382639094,0.904494014028,0.609838574325,0.464787862511
333,1.21137418201,1.27294270116,0.581648312781,0.89490712047,0.607676344025,0.46486772544
334,1.23402298066,1.28017801543,0.571139233042,0.884887562582,0.614215922724,0.46228398162
335,1.26568841675,1.29840831876,0.564523786612,0.877601604389,0.609076175828,0.457654643533
336,1.29418745106,1.31506107601,0.557086238031,0.864819039765,0.606884623939,0.45560082315
337,1.29821623917,1.34880542412,0.548296939655,0.85626671332,0.609740641384,0.451211766019
338,1.31801515577,1.37432760574,0.539980664074,0.843342460644,0.607476190742,0.447358837184
339,1.35246983022,1.39572451105,0.534053450781,0.829715829985,0.608366054104,0.446161229384
340,1.3651403413,1.41413461018,0.52654852426,0.821840286655,0.606722380774,0.445623430824
341,1.36986916649,1.44316157001,0.517004324947,0.81476724982,0.608258271299,0.445735094157
342,1.40009868154,1.46600631672,0.512486681197,0.806466536353,0.610942218499,0.444925007381
343,1.4262655604,1.47453707628,0.502436414574,0.795891453714,0.614171517029,0.445031746367
344,1.44324307264,1.51006901857,0.49418261776,0.798707713492,0.615562356489,0.444050858676
345,1.45940774627,1.52321944205,0.485425068707,0.783231354186,0.619777703165,0.446231970081
346,1.49401712932,1.55000924784,0.480262888256,0.776613107164,0.621152086032,0.44002293818
347,1.50905737744,1.56771661126,0.480482649759,0.766205796901,0.619095258334,0.438900941096
348,1.52581628276,1.60423667897,0.470179826172,0.756547415805,0.620256785081,0.439837076058
349,1.5510463016,1.6291929982,0.462783192352,0.751183340441,0.619444351747,0.443812995431
350,1.58326727838,1.64843505017,0.458331091751,0.744770161976,0.62346548747,0.442953341168
351,1.61151249325,1.66152348465,0.452441613442,0.72821806538,0.629066968255,0.446990597317
352,1.63383415863,1.68972682515,0.449326233741,0.715929916637,0.63101492807,0.44901622329
353,1.65664150573,1.71953852734,0.44413724105,0.717646959432,0.638371993548,0.451887762764
354,1.6828528254,1.73567333529,0.437042014951,0.712813838423,0.645313597391,0.453630912182
355,1.70567104755,1.75793737142,0.431793896201,0.706494954106,0.650007176179,0.454985683406
356,1.73373152108,1.77925862554,0.42465679205,0.698663090759,0.651865366599,0.458322451672
357,1.7575810574,1.79446288544,0.423904404591,0.690578069742,0.656198723813,0.461993185433
358,1.76859141064,1.80961336887,0.422458674822,0.68502559282,0.662004710781,0.465919777524
359,1.79338396761,1.8183909759,0.420675937649,0.684936438232,0.665008373117,0.46839100448
360,1.81758012642,1.83822165259,0.415941104179,0.67555462367,0.671763707627,0.473661380979
